commande_id,date,semaine,equipe,condition,preparateur_id,anciennete,nb_lignes,erreur
CMD00153,2024-01-08,1,B,sans_pause,PREP_B12,mid,4,0
CMD00154,2024-01-08,1,B,sans_pause,PREP_B03,mid,4,0
CMD00155,2024-01-08,1,B,sans_pause,PREP_B14,senior,3,0
CMD00156,2024-01-08,1,B,sans_pause,PREP_B01,mid,1,0
CMD00157,2024-01-08,1,B,sans_pause,PREP_B06,senior,2,1
CMD00158,2024-01-08,1,B,sans_pause,PREP_B05,mid,4,0
CMD00159,2024-01-08,1,B,sans_pause,PREP_B05,mid,5,0
CMD00160,2024-01-08,1,B,sans_pause,PREP_B15,mid,3,0
CMD00161,2024-01-08,1,B,sans_pause,PREP_B14,senior,3,0
CMD00162,2024-01-08,1,B,sans_pause,PREP_B11,junior,5,0
CMD00163,2024-01-08,1,B,sans_pause,PREP_B08,junior,3,0
CMD00164,2024-01-08,1,B,sans_pause,PREP_B10,mid,3,0
CMD00165,2024-01-08,1,B,sans_pause,PREP_B10,mid,2,0
CMD00166,2024-01-08,1,B,sans_pause,PREP_B05,mid,3,0
CMD00167,2024-01-08,1,B,sans_pause,PREP_B11,junior,4,0
CMD00168,2024-01-08,1,B,sans_pause,PREP_B04,junior,6,0
CMD00169,2024-01-08,1,B,sans_pause,PREP_B13,junior,4,0
CMD00170,2024-01-08,1,B,sans_pause,PREP_B09,mid,4,0
CMD00171,2024-01-08,1,B,sans_pause,PREP_B08,junior,4,0
CMD00172,2024-01-08,1,B,sans_pause,PREP_B08,junior,5,0
CMD00173,2024-01-08,1,B,sans_pause,PREP_B01,mid,4,0
CMD00174,2024-01-08,1,B,sans_pause,PREP_B10,mid,4,0
CMD00175,2024-01-08,1,B,sans_pause,PREP_B06,senior,4,0
CMD00176,2024-01-08,1,B,sans_pause,PREP_B09,mid,5,0
CMD00177,2024-01-08,1,B,sans_pause,PREP_B01,mid,4,0
CMD00178,2024-01-08,1,B,sans_pause,PREP_B03,mid,6,0
CMD00179,2024-01-08,1,B,sans_pause,PREP_B05,mid,5,0
CMD00180,2024-01-08,1,B,sans_pause,PREP_B05,mid,5,0
CMD00181,2024-01-08,1,B,sans_pause,PREP_B14,senior,3,0
CMD00182,2024-01-08,1,B,sans_pause,PREP_B01,mid,3,0
CMD00183,2024-01-08,1,B,sans_pause,PREP_B02,senior,3,0
CMD00184,2024-01-08,1,B,sans_pause,PREP_B02,senior,3,0
CMD00185,2024-01-08,1,B,sans_pause,PREP_B03,mid,5,0
CMD00186,2024-01-08,1,B,sans_pause,PREP_B05,mid,4,0
CMD00187,2024-01-08,1,B,sans_pause,PREP_B11,junior,3,1
CMD00188,2024-01-08,1,B,sans_pause,PREP_B15,mid,3,0
CMD00189,2024-01-08,1,B,sans_pause,PREP_B14,senior,3,0
CMD00190,2024-01-08,1,B,sans_pause,PREP_B12,mid,4,0
CMD00191,2024-01-08,1,B,sans_pause,PREP_B02,senior,2,0
CMD00192,2024-01-08,1,B,sans_pause,PREP_B15,mid,5,0
CMD00193,2024-01-08,1,B,sans_pause,PREP_B09,mid,5,0
CMD00194,2024-01-08,1,B,sans_pause,PREP_B07,senior,4,0
CMD00195,2024-01-08,1,B,sans_pause,PREP_B01,mid,4,0
CMD00196,2024-01-08,1,B,sans_pause,PREP_B08,junior,5,1
CMD00197,2024-01-08,1,B,sans_pause,PREP_B06,senior,1,0
CMD00198,2024-01-08,1,B,sans_pause,PREP_B11,junior,4,1
CMD00199,2024-01-08,1,B,sans_pause,PREP_B09,mid,6,0
CMD00200,2024-01-08,1,B,sans_pause,PREP_B08,junior,2,0
CMD00201,2024-01-08,1,B,sans_pause,PREP_B04,junior,5,0
CMD00202,2024-01-08,1,B,sans_pause,PREP_B13,junior,3,0
CMD00203,2024-01-08,1,B,sans_pause,PREP_B13,junior,3,0
CMD00204,2024-01-08,1,B,sans_pause,PREP_B05,mid,3,0
CMD00205,2024-01-08,1,B,sans_pause,PREP_B05,mid,2,0
CMD00206,2024-01-08,1,B,sans_pause,PREP_B14,senior,3,0
CMD00207,2024-01-08,1,B,sans_pause,PREP_B11,junior,3,0
CMD00208,2024-01-08,1,B,sans_pause,PREP_B15,mid,4,0
CMD00209,2024-01-08,1,B,sans_pause,PREP_B01,mid,5,0
CMD00210,2024-01-08,1,B,sans_pause,PREP_B13,junior,3,0
CMD00211,2024-01-08,1,B,sans_pause,PREP_B15,mid,3,0
CMD00212,2024-01-08,1,B,sans_pause,PREP_B07,senior,1,0
CMD00213,2024-01-08,1,B,sans_pause,PREP_B02,senior,5,0
CMD00214,2024-01-08,1,B,sans_pause,PREP_B14,senior,3,0
CMD00215,2024-01-08,1,B,sans_pause,PREP_B12,mid,4,0
CMD00216,2024-01-08,1,B,sans_pause,PREP_B15,mid,3,0
CMD00217,2024-01-08,1,B,sans_pause,PREP_B07,senior,3,0
CMD00218,2024-01-08,1,B,sans_pause,PREP_B07,senior,4,0
CMD00219,2024-01-08,1,B,sans_pause,PREP_B14,senior,6,0
CMD00220,2024-01-08,1,B,sans_pause,PREP_B13,junior,5,0
CMD00221,2024-01-08,1,B,sans_pause,PREP_B04,junior,6,0
CMD00222,2024-01-08,1,B,sans_pause,PREP_B01,mid,5,0
CMD00223,2024-01-08,1,B,sans_pause,PREP_B10,mid,3,0
CMD00224,2024-01-08,1,B,sans_pause,PREP_B02,senior,2,0
CMD00225,2024-01-08,1,B,sans_pause,PREP_B11,junior,4,0
CMD00226,2024-01-08,1,B,sans_pause,PREP_B06,senior,4,0
CMD00227,2024-01-08,1,B,sans_pause,PREP_B06,senior,3,0
CMD00228,2024-01-08,1,B,sans_pause,PREP_B14,senior,3,0
CMD00229,2024-01-08,1,B,sans_pause,PREP_B08,junior,1,0
CMD00230,2024-01-08,1,B,sans_pause,PREP_B15,mid,4,0
CMD00231,2024-01-08,1,B,sans_pause,PREP_B04,junior,3,0
CMD00232,2024-01-08,1,B,sans_pause,PREP_B03,mid,5,0
CMD00233,2024-01-08,1,B,sans_pause,PREP_B02,senior,6,0
CMD00234,2024-01-08,1,B,sans_pause,PREP_B12,mid,5,0
CMD00235,2024-01-08,1,B,sans_pause,PREP_B10,mid,3,0
CMD00236,2024-01-08,1,B,sans_pause,PREP_B01,mid,2,0
CMD00237,2024-01-08,1,B,sans_pause,PREP_B01,mid,2,0
CMD00238,2024-01-08,1,B,sans_pause,PREP_B11,junior,5,0
CMD00239,2024-01-08,1,B,sans_pause,PREP_B13,junior,3,0
CMD00240,2024-01-08,1,B,sans_pause,PREP_B10,mid,4,0
CMD00241,2024-01-08,1,B,sans_pause,PREP_B10,mid,3,0
CMD00242,2024-01-08,1,B,sans_pause,PREP_B01,mid,5,0
CMD00243,2024-01-08,1,B,sans_pause,PREP_B15,mid,1,0
CMD00244,2024-01-08,1,B,sans_pause,PREP_B01,mid,3,0
CMD00245,2024-01-08,1,B,sans_pause,PREP_B12,mid,4,0
CMD00246,2024-01-08,1,B,sans_pause,PREP_B03,mid,4,0
CMD00247,2024-01-08,1,B,sans_pause,PREP_B06,senior,4,0
CMD00248,2024-01-08,1,B,sans_pause,PREP_B03,mid,4,0
CMD00249,2024-01-08,1,B,sans_pause,PREP_B05,mid,4,0
CMD00250,2024-01-08,1,B,sans_pause,PREP_B09,mid,2,0
CMD00251,2024-01-08,1,B,sans_pause,PREP_B09,mid,3,0
CMD00252,2024-01-08,1,B,sans_pause,PREP_B03,mid,6,0
CMD00253,2024-01-08,1,B,sans_pause,PREP_B01,mid,4,0
CMD00254,2024-01-08,1,B,sans_pause,PREP_B01,mid,6,0
CMD00255,2024-01-08,1,B,sans_pause,PREP_B02,senior,5,0
CMD00256,2024-01-08,1,B,sans_pause,PREP_B03,mid,4,0
CMD00257,2024-01-08,1,B,sans_pause,PREP_B03,mid,2,0
CMD00258,2024-01-08,1,B,sans_pause,PREP_B15,mid,5,0
CMD00259,2024-01-08,1,B,sans_pause,PREP_B01,mid,5,0
CMD00260,2024-01-08,1,B,sans_pause,PREP_B06,senior,4,0
CMD00261,2024-01-08,1,B,sans_pause,PREP_B13,junior,5,1
CMD00262,2024-01-08,1,B,sans_pause,PREP_B06,senior,3,0
CMD00263,2024-01-08,1,B,sans_pause,PREP_B05,mid,3,0
CMD00264,2024-01-08,1,B,sans_pause,PREP_B15,mid,5,0
CMD00265,2024-01-08,1,B,sans_pause,PREP_B13,junior,3,0
CMD00266,2024-01-08,1,B,sans_pause,PREP_B05,mid,3,0
CMD00267,2024-01-08,1,B,sans_pause,PREP_B04,junior,5,0
CMD00268,2024-01-08,1,B,sans_pause,PREP_B03,mid,5,0
CMD00269,2024-01-08,1,B,sans_pause,PREP_B10,mid,3,0
CMD00270,2024-01-08,1,B,sans_pause,PREP_B10,mid,2,0
CMD00271,2024-01-08,1,B,sans_pause,PREP_B06,senior,3,0
CMD00272,2024-01-08,1,B,sans_pause,PREP_B12,mid,1,0
CMD00273,2024-01-08,1,B,sans_pause,PREP_B08,junior,6,1
CMD00274,2024-01-08,1,B,sans_pause,PREP_B12,mid,4,0
CMD00275,2024-01-08,1,B,sans_pause,PREP_B12,mid,6,0
CMD00276,2024-01-08,1,B,sans_pause,PREP_B08,junior,4,0
CMD00277,2024-01-08,1,B,sans_pause,PREP_B01,mid,6,0
CMD00278,2024-01-08,1,B,sans_pause,PREP_B13,junior,5,0
CMD00279,2024-01-08,1,B,sans_pause,PREP_B09,mid,4,0
CMD00280,2024-01-08,1,B,sans_pause,PREP_B05,mid,5,0
CMD00281,2024-01-09,1,A,avec_pause,PREP_A04,senior,4,0
CMD00282,2024-01-09,1,A,avec_pause,PREP_A05,mid,5,0
CMD00283,2024-01-09,1,A,avec_pause,PREP_A05,mid,5,1
CMD00284,2024-01-09,1,A,avec_pause,PREP_A09,junior,3,0
CMD00285,2024-01-09,1,A,avec_pause,PREP_A04,senior,5,0
CMD00286,2024-01-09,1,A,avec_pause,PREP_A02,mid,4,0
CMD00287,2024-01-09,1,A,avec_pause,PREP_A11,senior,2,0
CMD00288,2024-01-09,1,A,avec_pause,PREP_A03,mid,3,0
CMD00289,2024-01-09,1,A,avec_pause,PREP_A09,junior,1,0
CMD00290,2024-01-09,1,A,avec_pause,PREP_A01,senior,4,0
CMD00291,2024-01-09,1,A,avec_pause,PREP_A11,senior,3,0
CMD00292,2024-01-09,1,A,avec_pause,PREP_A01,senior,4,0
CMD00293,2024-01-09,1,A,avec_pause,PREP_A06,mid,7,0
CMD00294,2024-01-09,1,A,avec_pause,PREP_A07,mid,4,0
CMD00295,2024-01-09,1,A,avec_pause,PREP_A08,senior,4,0
CMD00296,2024-01-09,1,A,avec_pause,PREP_A13,mid,4,0
CMD00297,2024-01-09,1,A,avec_pause,PREP_A08,senior,2,0
CMD00298,2024-01-09,1,A,avec_pause,PREP_A02,mid,4,0
CMD00299,2024-01-09,1,A,avec_pause,PREP_A12,mid,3,0
CMD00300,2024-01-09,1,A,avec_pause,PREP_A04,senior,1,0
CMD00301,2024-01-09,1,A,avec_pause,PREP_A13,mid,4,0
CMD00302,2024-01-09,1,A,avec_pause,PREP_A03,mid,3,0
CMD00303,2024-01-09,1,A,avec_pause,PREP_A12,mid,5,0
CMD00304,2024-01-09,1,A,avec_pause,PREP_A07,mid,1,0
CMD00305,2024-01-09,1,A,avec_pause,PREP_A13,mid,2,0
CMD00306,2024-01-09,1,A,avec_pause,PREP_A03,mid,5,0
CMD00307,2024-01-09,1,A,avec_pause,PREP_A15,mid,5,0
CMD00308,2024-01-09,1,A,avec_pause,PREP_A08,senior,4,0
CMD00309,2024-01-09,1,A,avec_pause,PREP_A04,senior,2,0
CMD00310,2024-01-09,1,A,avec_pause,PREP_A10,mid,3,0
CMD00311,2024-01-09,1,A,avec_pause,PREP_A07,mid,4,0
CMD00312,2024-01-09,1,A,avec_pause,PREP_A01,senior,5,0
CMD00313,2024-01-09,1,A,avec_pause,PREP_A04,senior,5,0
CMD00314,2024-01-09,1,A,avec_pause,PREP_A07,mid,3,0
CMD00315,2024-01-09,1,A,avec_pause,PREP_A05,mid,5,0
CMD00316,2024-01-09,1,A,avec_pause,PREP_A05,mid,3,0
CMD00317,2024-01-09,1,A,avec_pause,PREP_A04,senior,4,0
CMD00318,2024-01-09,1,A,avec_pause,PREP_A07,mid,3,0
CMD00319,2024-01-09,1,A,avec_pause,PREP_A01,senior,6,0
CMD00320,2024-01-09,1,A,avec_pause,PREP_A02,mid,1,0
CMD00321,2024-01-09,1,A,avec_pause,PREP_A07,mid,4,0
CMD00322,2024-01-09,1,A,avec_pause,PREP_A10,mid,2,0
CMD00323,2024-01-09,1,A,avec_pause,PREP_A13,mid,5,0
CMD00324,2024-01-09,1,A,avec_pause,PREP_A05,mid,5,0
CMD00325,2024-01-09,1,A,avec_pause,PREP_A09,junior,4,0
CMD00326,2024-01-09,1,A,avec_pause,PREP_A10,mid,2,0
CMD00327,2024-01-09,1,A,avec_pause,PREP_A05,mid,5,0
CMD00328,2024-01-09,1,A,avec_pause,PREP_A07,mid,5,0
CMD00329,2024-01-09,1,A,avec_pause,PREP_A01,senior,2,0
CMD00330,2024-01-09,1,A,avec_pause,PREP_A02,mid,2,0
CMD00331,2024-01-09,1,A,avec_pause,PREP_A11,senior,3,0
CMD00332,2024-01-09,1,A,avec_pause,PREP_A11,senior,5,0
CMD00333,2024-01-09,1,A,avec_pause,PREP_A03,mid,4,0
CMD00334,2024-01-09,1,A,avec_pause,PREP_A06,mid,4,0
CMD00335,2024-01-09,1,A,avec_pause,PREP_A01,senior,4,0
CMD00336,2024-01-09,1,A,avec_pause,PREP_A04,senior,2,0
CMD00337,2024-01-09,1,A,avec_pause,PREP_A14,mid,3,0
CMD00338,2024-01-09,1,A,avec_pause,PREP_A08,senior,6,0
CMD00339,2024-01-09,1,A,avec_pause,PREP_A09,junior,5,0
CMD00340,2024-01-09,1,A,avec_pause,PREP_A03,mid,5,0
CMD00341,2024-01-09,1,A,avec_pause,PREP_A05,mid,5,0
CMD00342,2024-01-09,1,A,avec_pause,PREP_A01,senior,3,0
CMD00343,2024-01-09,1,A,avec_pause,PREP_A07,mid,3,0
CMD00344,2024-01-09,1,A,avec_pause,PREP_A03,mid,4,0
CMD00345,2024-01-09,1,A,avec_pause,PREP_A05,mid,5,0
CMD00346,2024-01-09,1,A,avec_pause,PREP_A08,senior,5,0
CMD00347,2024-01-09,1,A,avec_pause,PREP_A09,junior,5,1
CMD00348,2024-01-09,1,A,avec_pause,PREP_A10,mid,5,1
CMD00349,2024-01-09,1,A,avec_pause,PREP_A10,mid,2,0
CMD00350,2024-01-09,1,A,avec_pause,PREP_A15,mid,7,0
CMD00351,2024-01-09,1,A,avec_pause,PREP_A09,junior,3,0
CMD00352,2024-01-09,1,A,avec_pause,PREP_A13,mid,4,0
CMD00353,2024-01-09,1,A,avec_pause,PREP_A14,mid,4,0
CMD00354,2024-01-09,1,A,avec_pause,PREP_A07,mid,3,1
CMD00355,2024-01-09,1,A,avec_pause,PREP_A15,mid,5,0
CMD00356,2024-01-09,1,A,avec_pause,PREP_A03,mid,1,0
CMD00357,2024-01-09,1,A,avec_pause,PREP_A08,senior,1,0
CMD00358,2024-01-09,1,A,avec_pause,PREP_A08,senior,2,0
CMD00359,2024-01-09,1,A,avec_pause,PREP_A13,mid,5,0
CMD00360,2024-01-09,1,A,avec_pause,PREP_A13,mid,5,0
CMD00361,2024-01-09,1,A,avec_pause,PREP_A14,mid,2,0
CMD00362,2024-01-09,1,A,avec_pause,PREP_A11,senior,1,0
CMD00363,2024-01-09,1,A,avec_pause,PREP_A13,mid,4,0
CMD00364,2024-01-09,1,A,avec_pause,PREP_A14,mid,4,0
CMD00365,2024-01-09,1,A,avec_pause,PREP_A14,mid,7,0
CMD00366,2024-01-09,1,A,avec_pause,PREP_A09,junior,3,0
CMD00367,2024-01-09,1,A,avec_pause,PREP_A09,junior,4,0
CMD00368,2024-01-09,1,A,avec_pause,PREP_A01,senior,1,0
CMD00369,2024-01-09,1,A,avec_pause,PREP_A14,mid,5,0
CMD00370,2024-01-09,1,A,avec_pause,PREP_A05,mid,3,1
CMD00371,2024-01-09,1,A,avec_pause,PREP_A01,senior,3,0
CMD00372,2024-01-09,1,A,avec_pause,PREP_A11,senior,3,0
CMD00373,2024-01-09,1,A,avec_pause,PREP_A13,mid,4,0
CMD00374,2024-01-09,1,A,avec_pause,PREP_A15,mid,2,0
CMD00375,2024-01-09,1,A,avec_pause,PREP_A11,senior,4,0
CMD00376,2024-01-09,1,A,avec_pause,PREP_A13,mid,4,0
